Al,"20/08/2025"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"CSCO","CISCO SYSTEMS INC","IT","Azionario","401.734.955,76","0,34","401.734.955,76","5.986.216,00","67,11","Stati Uniti","NASDAQ","USD"
"WFC","WELLS FARGO","Finanziari","Azionario","385.602.125,52","0,33","385.602.125,52","4.933.497,00","78,16","Stati Uniti","New York Stock Exchange Inc.","USD"
"AZN","ASTRAZENECA PLC","Salute","Azionario","379.325.876,41","0,32","379.325.876,41","2.350.912,00","161,35","Regno unito","London Stock Exchange","GBP"
"NESN","NESTLE SA","Generi di largo consumo","Azionario","377.110.238,40","0,32","377.110.238,40","3.981.351,00","94,72","Svizzera","SIX Swiss Exchange","CHF"
"NOVN","NOVARTIS AG","Salute","Azionario","367.417.836,01","0,31","367.417.836,01","2.885.393,00","127,34","Svizzera","SIX Swiss Exchange","CHF"
"CRM","SALESFORCE INC","IT","Azionario","356.058.391,05","0,30","356.058.391,05","1.444.749,00","246,45","Stati Uniti","New York Stock Exchange Inc.","USD"
"HSBA","HSBC HOLDINGS PLC","Finanziari","Azionario","352.575.484,50","0,30","352.575.484,50","27.143.492,00","12,99","Regno unito","London Stock Exchange","GBP"
"ABT","ABBOTT LABORATORIES","Salute","Azionario","349.553.262,52","0,30","349.553.262,52","2.639.333,00","132,44","Stati Uniti","New York Stock Exchange Inc.","USD"
"ROG","ROCHE HOLDING PAR AG","Salute","Azionario","346.451.565,84","0,29","346.451.565,84","1.061.338,00","326,43","Svizzera","SIX Swiss Exchange","CHF"
"LIN","LINDE PLC","Materiali","Azionario","343.211.199,00","0,29","343.211.199,00","711.525,00","482,36","Stati Uniti","NASDAQ","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Azionario","337.587.153,75","0,29","337.587.153,75","1.391.825,00","242,55","Stati Uniti","New York Stock Exchange Inc.","USD"
"GS","GOLDMAN SACHS GROUP INC","Finanziari","Azionario","337.096.628,64","0,29","337.096.628,64","467.748,00","720,68","Stati Uniti","New York Stock Exchange Inc.","USD"
"MCD","MCDONALDS CORP","Consumi Discrezionali","Azionario","336.860.617,56","0,29","336.860.617,56","1.075.957,00","313,08","Stati Uniti","New York Stock Exchange Inc.","USD"
"SHEL","SHELL PLC","Energia","Azionario","325.386.935,84","0,28","325.386.935,84","9.058.904,00","35,92","Regno unito","London Stock Exchange","GBP"
"MRK","MERCK & CO INC","Salute","Azionario","325.309.182,42","0,28","325.309.182,42","3.842.537,00","84,66","Stati Uniti","New York Stock Exchange Inc.","USD"
"DIS","WALT DISNEY","Comunicazione","Azionario","321.554.876,72","0,27","321.554.876,72","2.747.393,00","117,04","Stati Uniti","New York Stock Exchange Inc.","USD"
"T","AT&T INC","Comunicazione","Azionario","319.378.597,92","0,27","319.378.597,92","10.907.739,00","29,28","Stati Uniti","New York Stock Exchange Inc.","USD"
"RTX","RTX CORP","Industriali","Azionario","315.365.683,22","0,27","315.365.683,22","2.013.958,00","156,59","Stati Uniti","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Generi di largo consumo","Azionario","313.202.620,65","0,27","313.202.620,65","2.077.905,00","150,73","Stati Uniti","NASDAQ","USD"
"SIE","SIEMENS N AG","Industriali","Azionario","310.342.745,63","0,26","310.342.745,63","1.139.579,00","272,33","Germania","Xetra","EUR"
"CAT","CATERPILLAR INC","Industriali","Azionario","304.267.003,11","0,26","304.267.003,11","723.429,00","420,59","Stati Uniti","New York Stock Exchange Inc.","USD"
"INTU","INTUIT INC","IT","Azionario","297.553.345,95","0,25","297.553.345,95","425.593,00","699,15","Stati Uniti","NASDAQ","USD"
"RY","ROYAL BANK OF CANADA","Finanziari","Azionario","292.894.031,31","0,25","292.894.031,31","2.143.842,00","136,62","Canada","Toronto Stock Exchange","CAD"
"VZ","VERIZON COMMUNICATIONS INC","Comunicazione","Azionario","288.095.435,76","0,24","288.095.435,76","6.393.596,00","45,06","Stati Uniti","New York Stock Exchange Inc.","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Salute","Azionario","287.000.685,82","0,24","287.000.685,82","580.022,00","494,81","Stati Uniti","New York Stock Exchange Inc.","USD"
"7203","TOYOTA MOTOR CORP","Consumi Discrezionali","Azionario","286.131.730,61","0,24","286.131.730,61","14.321.200,00","19,98","Giappone","Tokyo Stock Exchange","JPY"
"BKNG","BOOKING HOLDINGS INC","Consumi Discrezionali","Azionario","282.169.472,96","0,24","282.169.472,96","50.032,00","5.639,78","Stati Uniti","NASDAQ","USD"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Finanziari","Azionario","282.109.186,46","0,24","282.109.186,46","2.544.692,00","110,86","Australia","Asx - All Markets","AUD"
"TXN","TEXAS INSTRUMENT INC","IT","Azionario","278.899.645,50","0,24","278.899.645,50","1.389.150,00","200,77","Stati Uniti","NASDAQ","USD"
"NOW","SERVICENOW INC","IT","Azionario","277.290.618,75","0,23","277.290.618,75","311.475,00","890,25","Stati Uniti","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Finanziari","Azionario","267.829.493,51","0,23","267.829.493,51","480.817,00","557,03","Stati Uniti","New York Stock Exchange Inc.","USD"
"UBER","UBER TECHNOLOGIES INC","Industriali","Azionario","267.262.940,49","0,23","267.262.940,49","2.851.413,00","93,73","Stati Uniti","New York Stock Exchange Inc.","USD"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Finanziari","Azionario","267.238.158,04","0,23","267.238.158,04","17.366.936,00","15,39","Giappone","Tokyo Stock Exchange","JPY"
"C","CITIGROUP INC","Finanziari","Azionario","265.577.917,22","0,22","265.577.917,22","2.850.466,00","93,17","Stati Uniti","New York Stock Exchange Inc.","USD"
"AXP","AMERICAN EXPRESS","Finanziari","Azionario","264.643.899,60","0,22","264.643.899,60","858.119,00","308,40","Stati Uniti","New York Stock Exchange Inc.","USD"
"MS","MORGAN STANLEY","Finanziari","Azionario","263.847.257,64","0,22","263.847.257,64","1.830.747,00","144,12","Stati Uniti","New York Stock Exchange Inc.","USD"
"NOVO B","NOVO NORDISK CLASS B","Salute","Azionario","261.604.983,80","0,22","261.604.983,80","4.845.218,00","53,99","Danimarca","Omx Nordic Exchange Copenhagen A/S","DKK"
"6758","SONY GROUP CORP","Consumi Discrezionali","Azionario","260.580.421,22","0,22","260.580.421,22","9.279.390,00","28,08","Giappone","Tokyo Stock Exchange","JPY"
"QCOM","QUALCOMM INC","IT","Azionario","260.310.238,48","0,22","260.310.238,48","1.674.667,00","155,44","Stati Uniti","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","Salute","Azionario","258.849.163,80","0,22","258.849.163,80","538.764,00","480,45","Stati Uniti","NASDAQ","USD"
"ALV","ALLIANZ","Finanziari","Azionario","257.459.488,72","0,22","257.459.488,72","587.880,00","437,95","Germania","Xetra","EUR"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","IT","Azionario","255.716.045,93","0,22","255.716.045,93","1.861.102,00","137,40","Canada","Toronto Stock Exchange","CAD"
"BA","BOEING","Industriali","Azionario","253.236.790,48","0,21","253.236.790,48","1.122.404,00","225,62","Stati Uniti","New York Stock Exchange Inc.","USD"
"GEV","GE VERNOVA INC","Industriali","Azionario","250.020.939,42","0,21","250.020.939,42","413.538,00","604,59","Stati Uniti","New York Stock Exchange Inc.","USD"
"BLK","BLACKROCK INC","Finanziari","Azionario","249.648.077,34","0,21","249.648.077,34","221.229,00","1.128,46","Stati Uniti","New York Stock Exchange Inc.","USD"
"USD","USD CASH","Liquidità e/o derivati","Contanti","248.577.994,82","0,21","248.577.994,82","248.577.995,00","100,00","Stati Uniti","-","USD"
"SCHW","CHARLES SCHWAB CORP","Finanziari","Azionario","246.793.828,58","0,21","246.793.828,58","2.583.958,00","95,51","Stati Uniti","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Salute","Azionario","242.397.382,15","0,21","242.397.382,15","817.667,00","296,45","Stati Uniti","NASDAQ","USD"
"ULVR","UNILEVER PLC","Generi di largo consumo","Azionario","240.678.092,22","0,20","240.678.092,22","3.807.275,00","63,21","Regno unito","London Stock Exchange","GBP"
"BSX","BOSTON SCIENTIFIC CORP","Salute","Azionario","239.010.187,50","0,20","239.010.187,50","2.253.750,00","106,05","Stati Uniti","New York Stock Exchange Inc.","USD"
"NEE","NEXTERA ENERGY INC","Imprese di servizi di pubblica utilità","Azionario","238.628.060,32","0,20","238.628.060,32","3.132.424,00","76,18","Stati Uniti","New York Stock Exchange Inc.","USD"
"ACN","ACCENTURE PLC CLASS A","IT","Azionario","238.393.704,70","0,20","238.393.704,70","934.694,00","255,05","Stati Uniti","New York Stock Exchange Inc.","USD"
"MC","LVMH","Consumi Discrezionali","Azionario","236.214.445,50","0,20","236.214.445,50","410.360,00","575,63","Francia","Nyse Euronext - Euronext Paris","EUR"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Liquidità e/o derivati","Money Market","233.793.456,38","0,20","233.793.456,38","233.793.456,00","1,00","Irlanda","-","USD"
"TJX","TJX INC","Consumi Discrezionali","Azionario","233.465.299,98","0,20","233.465.299,98","1.688.474,00","138,27","Stati Uniti","New York Stock Exchange Inc.","USD"
"ADBE","ADOBE INC","IT","Azionario","227.982.848,94","0,19","227.982.848,94","645.058,00","353,43","Stati Uniti","NASDAQ","USD"
"GILD","GILEAD SCIENCES INC","Salute","Azionario","224.555.711,22","0,19","224.555.711,22","1.891.314,00","118,73","Stati Uniti","NASDAQ","USD"
"PGR","PROGRESSIVE CORP","Finanziari","Azionario","224.208.775,64","0,19","224.208.775,64","887.323,00","252,68","Stati Uniti","New York Stock Exchange Inc.","USD"
"SAN","BANCO SANTANDER SA","Finanziari","Azionario","220.430.857,82","0,19","220.430.857,82","23.122.111,00","9,53","Spagna","Bolsa De Madrid","EUR"
"PFE","PFIZER INC","Salute","Azionario","219.817.195,20","0,19","219.817.195,20","8.661.040,00","25,38","Stati Uniti","New York Stock Exchange Inc.","USD"
"LOW","LOWES COMPANIES INC","Consumi Discrezionali","Azionario","216.370.710,14","0,18","216.370.710,14","841.451,00","257,14","Stati Uniti","New York Stock Exchange Inc.","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industriali","Azionario","214.489.310,00","0,18","214.489.310,00","988.430,00","217,00","Stati Uniti","NASDAQ","USD"
"ANET","ARISTA NETWORKS INC","IT","Azionario","213.867.376,33","0,18","213.867.376,33","1.626.739,00","131,47","Stati Uniti","New York Stock Exchange Inc.","USD"
"SU","SCHNEIDER ELECTRIC","Industriali","Azionario","209.539.542,41","0,18","209.539.542,41","833.504,00","251,40","Francia","Nyse Euronext - Euronext Paris","EUR"
"COF","CAPITAL ONE FINANCIAL CORP","Finanziari","Azionario","206.250.426,00","0,17","206.250.426,00","960.600,00","214,71","Stati Uniti","New York Stock Exchange Inc.","USD"
"SYK","STRYKER CORP","Salute","Azionario","205.830.893,11","0,17","205.830.893,11","525.253,00","391,87","Stati Uniti","New York Stock Exchange Inc.","USD"
"UNP","UNION PACIFIC CORP","Industriali","Azionario","205.595.382,72","0,17","205.595.382,72","911.004,00","225,68","Stati Uniti","New York Stock Exchange Inc.","USD"
"DHR","DANAHER CORP","Salute","Azionario","205.016.777,00","0,17","205.016.777,00","969.805,00","211,40","Stati Uniti","New York Stock Exchange Inc.","USD"
"ETN","EATON PLC","Industriali","Azionario","204.800.555,26","0,17","204.800.555,26","591.533,00","346,22","Stati Uniti","New York Stock Exchange Inc.","USD"
"BHP","BHP GROUP LTD","Materiali","Azionario","203.234.291,18","0,17","203.234.291,18","7.569.998,00","26,85","Australia","Asx - All Markets","AUD"
"UBSG","UBS GROUP AG","Finanziari","Azionario","202.814.775,64","0,17","202.814.775,64","5.109.140,00","39,70","Svizzera","SIX Swiss Exchange","CHF"
"6501","HITACHI LTD","Industriali","Azionario","200.208.575,51","0,17","200.208.575,51","7.100.280,00","28,20","Giappone","Tokyo Stock Exchange","JPY"
"MU","MICRON TECHNOLOGY INC","IT","Azionario","199.837.658,34","0,17","199.837.658,34","1.704.954,00","117,21","Stati Uniti","NASDAQ","USD"
"APH","AMPHENOL CORP CLASS A","IT","Azionario","199.556.151,20","0,17","199.556.151,20","1.836.688,00","108,65","Stati Uniti","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Azionario","199.305.661,76","0,17","199.305.661,76","1.238.231,00","160,96","Stati Uniti","NASDAQ","USD"
"TD","TORONTO DOMINION","Finanziari","Azionario","196.032.207,45","0,17","196.032.207,45","2.657.383,00","73,77","Canada","Toronto Stock Exchange","CAD"
"TTE","TOTALENERGIES","Energia","Azionario","194.768.320,72","0,16","194.768.320,72","3.091.960,00","62,99","Francia","Nyse Euronext - Euronext Paris","EUR"
"LRCX","LAM RESEARCH CORP","IT","Azionario","194.570.571,90","0,16","194.570.571,90","1.962.386,00","99,15","Stati Uniti","NASDAQ","USD"
"DE","DEERE","Industriali","Azionario","192.494.864,16","0,16","192.494.864,16","390.678,00","492,72","Stati Uniti","New York Stock Exchange Inc.","USD"
"CMCSA","COMCAST CORP CLASS A","Comunicazione","Azionario","191.961.225,57","0,16","191.961.225,57","5.766.333,00","33,29","Stati Uniti","NASDAQ","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industriali","Azionario","191.733.955,14","0,16","191.733.955,14","620.438,00","309,03","Stati Uniti","NASDAQ","USD"
"DTE","DEUTSCHE TELEKOM N AG","Comunicazione","Azionario","191.615.950,56","0,16","191.615.950,56","5.209.064,00","36,79","Germania","Xetra","EUR"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materiali","Azionario","188.880.687,17","0,16","188.880.687,17","875.398,00","215,77","Francia","Nyse Euronext - Euronext Paris","EUR"
"ADI","ANALOG DEVICES INC","IT","Azionario","186.496.420,18","0,16","186.496.420,18","761.614,00","244,87","Stati Uniti","NASDAQ","USD"
"AIR","AIRBUS GROUP","Industriali","Azionario","186.153.326,34","0,16","186.153.326,34","890.980,00","208,93","Francia","Nyse Euronext - Euronext Paris","EUR"
"COP","CONOCOPHILLIPS","Energia","Azionario","185.923.385,73","0,16","185.923.385,73","1.959.357,00","94,89","Stati Uniti","New York Stock Exchange Inc.","USD"
"BX","BLACKSTONE INC","Finanziari","Azionario","182.594.265,06","0,15","182.594.265,06","1.110.198,00","164,47","Stati Uniti","New York Stock Exchange Inc.","USD"
"SAF","SAFRAN SA","Industriali","Azionario","182.552.935,38","0,15","182.552.935,38","541.228,00","337,29","Francia","Nyse Euronext - Euronext Paris","EUR"
"PANW","PALO ALTO NETWORKS INC","IT","Azionario","182.193.232,96","0,15","182.193.232,96","987.872,00","184,43","Stati Uniti","NASDAQ","USD"
"TMUS","T MOBILE US INC","Comunicazione","Azionario","179.060.347,26","0,15","179.060.347,26","691.326,00","259,01","Stati Uniti","NASDAQ","USD"
"MDT","MEDTRONIC PLC","Salute","Azionario","178.360.529,38","0,15","178.360.529,38","1.913.329,00","93,22","Stati Uniti","New York Stock Exchange Inc.","USD"
"KLAC","KLA CORP","IT","Azionario","177.351.765,36","0,15","177.351.765,36","201.894,00","878,44","Stati Uniti","NASDAQ","USD"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industriali","Azionario","177.004.815,05","0,15","177.004.815,05","12.804.818,00","13,82","Regno unito","London Stock Exchange","GBP"
"BATS","BRITISH AMERICAN TOBACCO","Generi di largo consumo","Azionario","176.475.951,80","0,15","176.475.951,80","3.010.455,00","58,62","Regno unito","London Stock Exchange","GBP"
"UCG","UNICREDIT","Finanziari","Azionario","176.449.509,02","0,15","176.449.509,02","2.199.302,00","80,23","Italia","Borsa Italiana","EUR"
"MO","ALTRIA GROUP INC","Generi di largo consumo","Azionario","174.038.368,52","0,15","174.038.368,52","2.575.294,00","67,58","Stati Uniti","New York Stock Exchange Inc.","USD"
"IBE","IBERDROLA SA","Imprese di servizi di pubblica utilità","Azionario","173.296.757,60","0,15","173.296.757,60","8.961.808,00","19,34","Spagna","Bolsa De Madrid","EUR"
"SAN","SANOFI SA","Salute","Azionario","172.685.784,27","0,15","172.685.784,27","1.701.286,00","101,50","Francia","Nyse Euronext - Euronext Paris","EUR"
"OR","LOREAL SA","Generi di largo consumo","Azionario","171.320.504,30","0,15","171.320.504,30","361.181,00","474,34","Francia","Nyse Euronext - Euronext Paris","EUR"
"SNPS","SYNOPSYS INC","IT","Azionario","168.106.605,63","0,14","168.106.605,63","279.651,00","601,13","Stati Uniti","NASDAQ","USD"
"SPOT","SPOTIFY TECHNOLOGY SA","Comunicazione","Azionario","166.801.748,95","0,14","166.801.748,95","237.005,00","703,79","Svezia","New York Stock Exchange Inc.","USD"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Finanziari","Azionario","163.300.163,66","0,14","163.300.163,66","8.616.343,00","18,95","Spagna","Bolsa De Madrid","EUR"
"WELL","WELLTOWER INC","Immobili","Azionario","162.938.439,84","0,14","162.938.439,84","981.616,00","165,99","Stati Uniti","New York Stock Exchange Inc.","USD"
"CB","CHUBB LTD","Finanziari","Azionario","161.954.577,28","0,14","161.954.577,28","579.071,00","279,68","Stati Uniti","New York Stock Exchange Inc.","USD"
"MELI","MERCADOLIBRE INC","Consumi Discrezionali","Azionario","161.504.985,24","0,14","161.504.985,24","69.138,00","2.335,98","Stati Uniti","NASDAQ","USD"
"ZURN","ZURICH INSURANCE GROUP AG","Finanziari","Azionario","160.235.990,30","0,14","160.235.990,30","215.972,00","741,93","Svizzera","SIX Swiss Exchange","CHF"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Finanziari","Azionario","158.306.467,59","0,13","158.306.467,59","5.670.334,00","27,92","Giappone","Tokyo Stock Exchange","JPY"
"INTC","INTEL CORPORATION CORP","IT","Azionario","157.046.992,30","0,13","157.046.992,30","6.671.495,00","23,54","Stati Uniti","NASDAQ","USD"
"ABBN","ABB LTD","Industriali","Azionario","157.009.626,17","0,13","157.009.626,17","2.354.705,00","66,68","Svizzera","SIX Swiss Exchange","CHF"
"ENB","ENBRIDGE INC","Energia","Azionario","156.210.501,01","0,13","156.210.501,01","3.249.774,00","48,07","Canada","Toronto Stock Exchange","CAD"
"SO","SOUTHERN","Imprese di servizi di pubblica utilità","Azionario","156.049.636,27","0,13","156.049.636,27","1.643.839,00","94,93","Stati Uniti","New York Stock Exchange Inc.","USD"
"MMC","MARSH & MCLENNAN INC","Finanziari","Azionario","155.636.213,59","0,13","155.636.213,59","736.879,00","211,21","Stati Uniti","New York Stock Exchange Inc.","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Finanziari","Azionario","155.413.623,40","0,13","155.413.623,40","857.218,00","181,30","Stati Uniti","New York Stock Exchange Inc.","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","IT","Azionario","154.884.572,51","0,13","154.884.572,51","369.503,00","419,17","Stati Uniti","NASDAQ","USD"
"7974","NINTENDO LTD","Comunicazione","Azionario","154.254.703,40","0,13","154.254.703,40","1.640.770,00","94,01","Giappone","Tokyo Stock Exchange","JPY"
"1299","AIA GROUP LTD","Finanziari","Azionario","153.393.596,64","0,13","153.393.596,64","16.172.674,00","9,48","Hong Kong","Hong Kong Exchanges And Clearing Ltd","HKD"
"PLD","PROLOGIS REIT INC","Immobili","Azionario","152.718.404,58","0,13","152.718.404,58","1.386.081,00","110,18","Stati Uniti","New York Stock Exchange Inc.","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Salute","Azionario","152.613.376,40","0,13","152.613.376,40","386.990,00","394,36","Stati Uniti","NASDAQ","USD"
"SBUX","STARBUCKS CORP","Consumi Discrezionali","Azionario","151.553.677,48","0,13","151.553.677,48","1.693.148,00","89,51","Stati Uniti","NASDAQ","USD"
"CEG","CONSTELLATION ENERGY CORP","Imprese di servizi di pubblica utilità","Azionario","151.275.147,66","0,13","151.275.147,66","481.446,00","314,21","Stati Uniti","NASDAQ","USD"
"BNP","BNP PARIBAS SA","Finanziari","Azionario","150.790.194,76","0,13","150.790.194,76","1.551.907,00","97,16","Francia","Nyse Euronext - Euronext Paris","EUR"
"CME","CME GROUP INC CLASS A","Finanziari","Azionario","150.246.820,08","0,13","150.246.820,08","547.128,00","274,61","Stati Uniti","NASDAQ","USD"
"BMY","BRISTOL MYERS SQUIBB","Salute","Azionario","148.847.883,66","0,13","148.847.883,66","3.084.291,00","48,26","Stati Uniti","New York Stock Exchange Inc.","USD"
"ISP","INTESA SANPAOLO","Finanziari","Azionario","147.524.918,89","0,12","147.524.918,89","22.696.875,00","6,50","Italia","Borsa Italiana","EUR"
"AMT","AMERICAN TOWER REIT CORP","Immobili","Azionario","146.704.679,50","0,12","146.704.679,50","700.261,00","209,50","Stati Uniti","New York Stock Exchange Inc.","USD"
"PH","PARKER-HANNIFIN CORP","Industriali","Azionario","144.950.475,12","0,12","144.950.475,12","195.096,00","742,97","Stati Uniti","New York Stock Exchange Inc.","USD"
"APP","APPLOVIN CORP CLASS A","IT","Azionario","144.773.009,46","0,12","144.773.009,46","351.067,00","412,38","Stati Uniti","NASDAQ","USD"
"9984","SOFTBANK GROUP CORP","Comunicazione","Azionario","144.485.874,69","0,12","144.485.874,69","1.426.422,00","101,29","Giappone","Tokyo Stock Exchange","JPY"
"EL","ESSILORLUXOTTICA SA","Salute","Azionario","143.950.053,83","0,12","143.950.053,83","448.002,00","321,32","Francia","Nyse Euronext - Euronext Paris","EUR"
"DUK","DUKE ENERGY CORP","Imprese di servizi di pubblica utilità","Azionario","143.765.686,40","0,12","143.765.686,40","1.154.930,00","124,48","Stati Uniti","New York Stock Exchange Inc.","USD"
"TT","TRANE TECHNOLOGIES PLC","Industriali","Azionario","142.185.117,90","0,12","142.185.117,90","333.533,00","426,30","Stati Uniti","New York Stock Exchange Inc.","USD"
"LMT","LOCKHEED MARTIN CORP","Industriali","Azionario","141.910.956,00","0,12","141.910.956,00","318.186,00","446,00","Stati Uniti","New York Stock Exchange Inc.","USD"
